selfPID,score,total_interactions,interactions_with_humans,interactions_with_bots,items_copied
103855,0,19,19,0,0
245695,135,8,6,2,6
338006,90,0,0,0,0
459309,75,0,0,0,0
470332,45,0,0,0,0
628129,135,1,0,1,0
1004316,30,0,0,0,0
1085421,15,0,0,0,0
1100770,75,14,0,14,0
1167676,105,6,2,4,2
1392209,60,0,0,0,0
1751595,150,9,5,4,7
1793917,105,0,0,0,0
1807851,135,0,0,0,0
2096226,0,0,0,0,0
2247977,135,10,0,10,5
2544739,60,4,2,2,2
2661654,3815,7,4,3,7
2882507,135,14,12,2,10
3116322,15,5,3,2,0
3506098,3815,32,29,3,17
3594140,45,0,0,0,0
3620619,0,0,0,0,0
3695157,75,0,0,0,0
3725970,135,6,5,1,6
3788244,45,3,3,0,0
3945148,15,27,10,17,0
3951581,2020,21,4,17,8
4047315,105,4,2,2,2
4088509,60,9,8,1,4
4164971,45,0,0,0,0
4196158,60,6,4,2,0
4229225,45,0,0,0,0
4243419,60,4,4,0,2
4285830,90,8,0,8,1
4346331,0,0,0,0,0
4350488,880,20,18,2,9
4527746,135,16,4,12,8
4535097,90,3,0,3,2
4565000,135,13,12,1,5
4626986,120,6,6,0,5
4722424,75,0,0,0,0
4753803,135,25,17,8,6
4760866,45,0,0,0,0
4997011,150,15,9,6,7
5063549,120,0,0,0,0
5128630,75,1,0,1,1
5355090,0,0,0,0,0
5383722,0,0,0,0,0
5473001,3815,7,5,2,6
5548032,15,0,0,0,0
5566106,120,0,0,0,0
5569704,135,13,9,4,4
5659352,135,11,6,5,2
5663496,0,0,0,0,0
5758119,135,2,0,2,2
6033696,60,0,0,0,0
6080952,150,0,0,0,0
6147211,1335,7,5,2,5
6316441,105,1,1,0,1
6420138,30,0,0,0,0
6635875,30,0,0,0,0
6744430,45,0,0,0,0
6961396,135,8,5,3,4
6980494,135,7,5,2,4
7033622,135,13,7,6,6
7081885,2020,16,14,2,10
7124052,105,0,0,0,0
7150603,15,0,0,0,0
7297919,135,7,4,3,5
7483167,0,0,0,0,0
7625359,0,0,0,0,0
7725791,45,0,0,0,0
7737814,75,2,0,2,2
7797038,75,5,5,0,1
7820468,45,0,0,0,0
7822177,45,0,0,0,0
7991091,425,0,0,0,0
8072028,15,0,0,0,0
8085417,15,6,6,0,0
8126305,1335,26,25,1,12
8315563,15,0,0,0,0
8342428,1335,9,7,2,8
8390955,135,10,8,2,6
8422908,135,9,1,8,5
8460443,45,2,2,0,0
8563338,15,16,15,1,1
8568642,105,6,2,4,3
8592100,2020,2,1,1,1
8850007,15,13,8,5,0
8972798,45,0,0,0,0
9083338,30,3,3,0,0
9147239,75,0,0,0,0
9162677,15,0,0,0,0
9245275,75,1,1,0,0
9251000,105,6,0,6,2
9353197,15,7,7,0,0
9459889,60,0,0,0,0
9671516,135,1,0,1,1
9825606,135,4,0,4,3
9848812,75,2,1,1,2
9859562,135,12,3,9,6
9934806,60,6,0,6,0
9962563,90,24,22,2,3
