selfPID,score,items_copied,total_items_found
15158,15,0,1
18783,30,0,2
47343,135,9,9
52808,0,0,0
64779,45,0,3
72108,0,0,0
74271,135,3,9
103925,135,5,9
142894,120,5,8
157120,0,0,0
165709,135,6,9
168048,15,0,1
175578,135,7,9
193498,150,3,10
208030,45,0,3
239564,45,0,3
273052,150,5,10
273268,60,0,4
296627,75,0,5
315914,75,2,5
331766,15,0,1
391565,60,0,4
423352,135,7,9
446937,45,0,3
457430,15,0,1
488287,120,1,8
507482,60,0,4
576815,45,0,3
589245,0,0,0
634050,75,0,5
645302,45,0,3
682511,15,0,1
731715,135,2,9
737427,45,0,3
737668,90,0,6
740439,835,3,11
862293,105,5,7
910372,30,0,2
928406,75,0,5
932398,120,0,8
941750,135,6,9
965509,105,3,7
972607,135,3,9
1048909,15,0,1
1056767,90,0,6
1069924,135,4,9
1083980,135,3,9
1140102,105,2,7
1172790,105,0,7
1184644,835,8,11
1194912,135,6,9
1204542,30,0,2
1205265,60,0,4
1249649,150,5,10
1269809,135,9,9
1287577,45,0,3
1321302,120,1,8
1328874,135,9,9
1336768,135,5,9
1347683,120,3,8
1348334,1615,7,15
1371402,45,0,3
1379444,30,0,2
1418972,105,0,7
1510722,135,4,9
1594014,45,0,3
1624949,0,0,0
1675532,835,8,11
1690792,1615,6,15
1759893,60,1,4
1767301,135,5,9
1811565,60,0,4
1836375,45,0,3
1837309,135,9,9
1885373,135,5,9
1891581,75,0,5
1896692,0,0,0
1922549,150,8,10
2019901,90,0,6
2093285,105,4,7
2099265,75,0,5
2102138,45,0,3
2103059,105,0,7
2125519,0,0,0
2168649,0,0,0
2190385,90,0,6
2192099,150,6,10
2201540,135,6,9
2202203,120,6,8
2307612,60,0,4
2361652,135,7,9
2373324,15,1,1
2387207,75,0,5
2413028,45,0,3
2413991,135,1,9
2451282,135,5,9
2487604,90,4,6
2506783,120,5,8
2530378,30,0,2
2548211,30,0,2
2548358,45,0,3
2573810,90,0,6
2615814,135,5,9
2658285,150,5,10
2671506,105,0,7
2716435,105,1,7
2758799,30,0,2
2784423,15,0,1
2794743,45,0,3
2810704,215,7,11
2814472,90,1,6
2826890,120,3,8
2869716,15,0,1
2880183,135,4,9
2899960,135,5,9
2920035,90,0,6
2921643,120,1,8
2922022,440,8,8
2934776,150,6,10
2945127,550,10,12
2979400,120,3,8
2984595,105,3,7
3000807,15,0,1
3004631,135,4,9
3061267,60,1,4
3093691,0,0,0
3096080,170,0,8
3123749,45,0,3
3137337,0,0,0
3155425,45,0,3
3214622,105,2,7
3312127,30,0,2
3319914,135,3,9
3327229,90,5,6
3327702,105,6,7
3337054,135,2,9
3397309,135,9,9
3398743,135,4,9
3446823,45,0,3
3451206,15,0,1
3461833,135,9,9
3491717,0,0,0
3529177,45,0,3
3533956,0,0,0
3535752,0,0,0
3544044,135,2,9
3566954,75,0,5
3579787,15,0,1
3638066,90,1,6
3660338,150,7,10
3662110,0,0,0
3665606,0,0,0
3675922,75,0,5
3691898,135,4,9
3711958,135,5,9
3726110,45,0,3
3760888,135,8,9
3804787,135,5,9
3824632,90,0,6
3860267,135,6,9
3904517,45,0,3
3919082,135,4,9
3932039,15,0,1
3998831,45,0,3
4012595,90,0,6
4071489,120,0,8
4119785,0,0,0
4138483,135,3,9
4139851,75,0,5
4140059,0,0,0
4287046,90,2,6
4295046,0,0,0
4309063,135,3,9
4325783,75,0,5
4379620,90,3,6
4387161,90,2,6
4407651,45,0,3
4447729,135,7,9
4496424,60,0,4
4504518,0,0,0
4556147,60,0,4
4562844,105,1,7
4685957,455,6,9
4686465,105,4,7
4768619,15,0,1
4775625,45,0,3
4804214,60,0,4
4828117,105,5,7
4832235,105,1,7
4833113,150,10,10
4852298,0,0,0
4863636,135,4,9
4865785,105,5,7
4875254,0,0,0
4902987,2750,11,14
4947774,15,0,1
4948087,45,1,3
4958604,30,2,2
4966786,0,0,0
4971329,120,2,8
4977254,15,0,1
4995469,835,10,11
5006865,135,6,9
5051255,120,2,8
5077132,135,1,9
5139813,15,0,1
5235556,0,0,0
5238392,120,3,8
5316852,90,0,6
5407905,120,6,8
5411456,300,4,10
5426980,45,0,3
5455230,45,0,3
5524817,135,6,9
5528248,45,0,3
5532116,30,0,2
5535394,150,8,10
5550171,135,6,9
5556830,135,5,9
5599692,45,0,3
5635720,60,0,4
5639361,45,0,3
5677455,45,0,3
5693591,150,4,10
5725078,2750,9,14
5740428,0,0,0
5751570,835,8,11
5795349,120,5,8
5796965,120,6,8
5822543,45,0,3
5887067,120,8,8
5924891,75,0,5
5970050,0,0,0
5980041,135,3,9
5992839,45,0,3
5993977,45,0,3
6044970,90,0,6
6090786,105,0,7
6118878,45,0,3
6135075,75,0,5
6155524,150,8,10
6178333,0,0,0
6180816,75,0,5
6241351,135,2,9
6274895,835,4,11
6286883,0,0,0
6336026,45,0,3
6340625,135,6,9
6344364,75,2,5
6351155,1615,11,15
6362400,75,0,5
6375671,605,0,9
6386499,150,10,10
6390462,15,0,1
6407892,135,8,9
6410866,15,0,1
6435129,15,0,1
6438758,150,4,10
6462102,75,0,5
6476113,45,0,3
6500336,45,0,3
6541286,105,0,7
6558340,105,5,7
6622486,150,7,10
6624324,60,0,4
6636766,0,0,0
6676243,150,6,10
6684517,135,4,9
6703604,90,4,6
6747411,0,0,0
6800671,90,3,6
6881604,135,6,9
6903625,0,0,0
6903947,135,5,9
6906323,75,2,5
6949230,45,0,3
6972075,60,0,4
6973841,90,5,6
7038530,120,3,8
7057272,135,3,9
7064861,135,4,9
7073900,0,0,0
7089672,135,5,9
7120675,835,7,11
7132738,90,0,6
7134265,45,0,3
7166017,75,2,5
7183811,0,0,0
7206426,135,6,9
7236558,45,0,3
7236579,45,0,3
7265531,2750,8,14
7275711,90,5,6
7275802,120,4,8
7288637,45,0,3
7304453,135,3,9
7309177,90,5,6
7322850,105,3,7
7377293,15,0,1
7378096,0,0,0
7384852,45,0,3
7400561,45,0,3
7409945,45,0,3
7444875,1435,8,13
7470379,45,0,3
7522714,15,1,1
7565140,135,4,9
7619436,45,0,3
7623046,0,0,0
7623224,135,2,9
7624990,90,0,6
7629483,300,6,10
7636504,15,0,1
7652976,135,2,9
7702438,2750,9,14
7730926,15,0,1
7788198,135,2,9
7799130,45,0,3
7827477,105,2,7
7838701,300,8,10
7887173,0,0,0
7894724,45,0,3
7949403,60,0,4
7966366,135,3,9
7969038,90,0,6
7976309,135,3,9
8009258,135,7,9
8056627,0,0,0
8082844,150,2,10
8104710,105,4,7
8122232,150,6,10
8131504,135,4,9
8140824,45,0,3
8176913,135,4,9
8237387,120,5,8
8299296,2750,10,14
8325568,0,0,0
8331049,0,0,0
8397033,15,0,1
8447678,60,0,4
8448349,75,0,5
8449081,45,0,3
8457055,135,3,9
8463962,60,0,4
8469451,45,0,3
8471504,30,0,2
8480453,135,6,9
8500797,45,0,3
8502045,0,0,0
8562381,135,7,9
8585403,45,0,3
8596447,835,5,11
8604267,0,0,0
8620149,45,0,3
8637795,90,0,6
8663434,135,6,9
8666812,135,5,9
8694001,45,0,3
8696091,150,5,10
8704931,0,0,0
8726299,535,4,11
8736582,45,0,3
8737906,30,0,2
8739632,135,1,9
8745627,45,0,3
8806374,45,0,3
8865135,45,0,3
8907667,15,0,1
8921544,120,4,8
8948158,90,3,6
8992684,135,6,9
8997229,135,3,9
9030021,0,0,0
9046577,0,0,0
9072167,75,2,5
9100404,135,5,9
9146901,60,0,4
9230869,215,5,11
9266184,105,3,7
9289239,0,0,0
9307775,75,0,5
9331409,90,3,6
9409428,15,0,1
9414975,30,0,2
9444554,45,0,3
9466822,135,5,9
9491107,45,0,3
9500209,15,0,1
9506301,45,0,3
9551321,135,3,9
9585805,15,0,1
9665300,135,3,9
9731621,105,4,7
9737887,135,8,9
9747844,75,0,5
9748528,135,5,9
9759830,0,0,0
9764653,15,0,1
9778115,150,5,10
9780860,75,0,5
9782809,135,4,9
9784669,0,0,0
9842297,105,0,7
9860897,0,0,0
9865161,505,7,9
9877744,120,5,8
9926499,30,0,2
9975099,120,2,8
