selfPID,score,total_items_found,total_interactions,interactions_with_humans,interactions_with_bots
147748,150,10,20,4,16
195877,135,9,16,3,13
345540,45,3,27,10,17
492259,135,9,30,5,25
547991,90,6,0,0,0
548185,135,9,16,3,13
584906,820,8,64,14,50
641016,45,3,37,14,23
841328,135,9,43,18,25
854235,135,9,43,18,25
892572,105,7,23,3,20
937616,135,9,35,5,30
1012343,45,3,8,2,6
1076591,15,1,3,1,2
1284432,45,3,17,4,13
1405360,45,3,0,0,0
1436684,135,9,31,17,14
1558499,90,6,14,1,13
1580530,45,3,11,4,7
1710501,470,10,46,11,35
1881198,135,9,22,5,17
2288169,45,3,0,0,0
2459533,135,9,29,7,22
2592613,135,9,17,3,14
2631713,45,3,6,3,3
2634160,105,7,37,9,28
2640222,45,3,20,10,10
2703927,105,7,30,6,24
2805899,135,9,44,13,31
2853135,45,3,25,9,16
2917770,120,8,42,13,29
3020111,440,8,22,5,17
3122017,135,9,14,4,10
3186503,135,9,25,14,11
3214784,105,7,15,10,5
3299009,880,12,25,1,24
3324420,0,0,7,6,1
3603677,135,9,22,2,20
3617933,135,9,33,1,32
3748384,45,3,59,24,35
3778870,120,8,26,7,19
3947842,135,9,17,3,14
3956654,1375,11,26,5,21
3989844,550,12,29,6,23
4130108,60,4,6,1,5
4225514,550,12,24,15,9
4594722,820,8,35,9,26
4645407,550,12,58,8,50
4774888,135,9,45,14,31
4791105,75,5,4,0,4
4846993,60,4,15,3,12
4874927,60,4,5,0,5
4954143,835,11,14,0,14
5247448,0,0,23,8,15
5422529,75,5,4,1,3
5425090,0,0,11,3,8
5433601,15,1,19,8,11
5522415,135,9,47,12,35
5589471,45,3,4,1,3
5599594,135,9,24,4,20
5647595,120,8,26,11,15
5672173,45,3,3,1,2
5857449,135,9,40,6,34
5890363,45,3,10,4,6
5952552,425,7,31,11,20
5957239,135,9,20,0,20
6066930,135,9,58,29,29
6181294,835,11,47,12,35
6286847,45,3,0,0,0
6300805,90,6,34,13,21
6343863,150,10,27,5,22
6454832,15,1,7,5,2
6627772,835,11,31,9,22
6773538,105,7,44,16,28
7126896,150,10,37,7,30
7350016,120,8,40,4,36
7479293,245,13,47,14,33
7498648,120,8,22,5,17
7537693,90,6,63,14,49
7571005,15,1,13,1,12
7605021,245,13,24,2,22
7635024,170,8,3,1,2
7636539,135,9,5,0,5
7806723,75,5,11,0,11
7840603,45,3,9,0,9
7935181,45,3,3,2,1
7937620,135,9,30,12,18
7959221,15,1,10,5,5
8082291,135,9,35,10,25
8180431,60,4,5,3,2
8255304,135,9,48,30,18
8296010,135,9,12,2,10
8302749,120,8,14,2,12
8422196,75,5,1,1,0
8453542,105,7,50,8,42
8563283,105,7,55,25,30
8583627,880,12,31,11,20
9209236,45,3,7,2,5
9292578,60,4,0,0,0
9313146,15,1,0,0,0
9333839,75,5,0,0,0
9549754,75,5,0,0,0
9652262,425,7,12,7,5
9884602,45,3,31,12,19
