selfPID,score,total_items_found,total_interactions
15158,15,1,9
18783,30,2,17
47343,135,9,24
52808,0,0,0
64779,45,3,0
72108,0,0,7
74271,135,9,10
103925,135,9,36
142894,120,8,76
157120,0,0,8
165709,135,9,21
168048,15,1,0
175578,135,9,31
193498,150,10,54
208030,45,3,19
239564,45,3,12
273052,150,10,50
273268,60,4,22
296627,75,5,0
315914,75,5,22
331766,15,1,28
391565,60,4,12
423352,135,9,34
446937,45,3,13
457430,15,1,21
488287,120,8,29
507482,60,4,9
576815,45,3,9
589245,0,0,0
634050,75,5,0
645302,45,3,4
682511,15,1,0
731715,135,9,12
737427,45,3,0
737668,90,6,28
740439,835,11,22
862293,105,7,61
910372,30,2,19
928406,75,5,12
932398,120,8,0
941750,135,9,54
965509,105,7,26
972607,135,9,13
1048909,15,1,12
1056767,90,6,20
1069924,135,9,8
1083980,135,9,45
1140102,105,7,10
1172790,105,7,6
1184644,835,11,39
1194912,135,9,28
1204542,30,2,32
1205265,60,4,12
1249649,150,10,18
1269809,135,9,55
1287577,45,3,6
1321302,120,8,35
1328874,135,9,18
1336768,135,9,27
1347683,120,8,22
1348334,1615,15,43
1371402,45,3,8
1379444,30,2,15
1418972,105,7,0
1510722,135,9,24
1594014,45,3,7
1624949,0,0,48
1675532,835,11,29
1690792,1615,15,16
1759893,60,4,25
1767301,135,9,32
1811565,60,4,21
1836375,45,3,5
1837309,135,9,59
1885373,135,9,20
1891581,75,5,2
1896692,0,0,38
1922549,150,10,39
2019901,90,6,15
2093285,105,7,15
2099265,75,5,20
2102138,45,3,0
2103059,105,7,0
2125519,0,0,3
2168649,0,0,17
2190385,90,6,14
2192099,150,10,29
2201540,135,9,16
2202203,120,8,38
2307612,60,4,11
2361652,135,9,54
2373324,15,1,38
2387207,75,5,2
2413028,45,3,0
2413991,135,9,16
2451282,135,9,15
2487604,90,6,22
2506783,120,8,34
2530378,30,2,35
2548211,30,2,3
2548358,45,3,4
2573810,90,6,0
2615814,135,9,28
2658285,150,10,34
2671506,105,7,0
2716435,105,7,18
2758799,30,2,0
2784423,15,1,68
2794743,45,3,7
2810704,215,11,49
2814472,90,6,38
2826890,120,8,40
2869716,15,1,12
2880183,135,9,13
2899960,135,9,31
2920035,90,6,21
2921643,120,8,8
2922022,440,8,34
2934776,150,10,53
2945127,550,12,61
2979400,120,8,22
2984595,105,7,10
3000807,15,1,1
3004631,135,9,54
3061267,60,4,34
3093691,0,0,18
3096080,170,8,7
3123749,45,3,0
3137337,0,0,4
3155425,45,3,15
3214622,105,7,9
3312127,30,2,5
3319914,135,9,46
3327229,90,6,37
3327702,105,7,33
3337054,135,9,35
3397309,135,9,74
3398743,135,9,48
3446823,45,3,7
3451206,15,1,30
3461833,135,9,55
3491717,0,0,89
3529177,45,3,7
3533956,0,0,5
3535752,0,0,0
3544044,135,9,5
3566954,75,5,13
3579787,15,1,13
3638066,90,6,17
3660338,150,10,18
3662110,0,0,9
3665606,0,0,3
3675922,75,5,23
3691898,135,9,31
3711958,135,9,44
3726110,45,3,0
3760888,135,9,62
3804787,135,9,29
3824632,90,6,0
3860267,135,9,22
3904517,45,3,18
3919082,135,9,16
3932039,15,1,28
3998831,45,3,50
4012595,90,6,16
4071489,120,8,1
4119785,0,0,34
4138483,135,9,26
4139851,75,5,13
4140059,0,0,26
4287046,90,6,30
4295046,0,0,0
4309063,135,9,25
4325783,75,5,6
4379620,90,6,25
4387161,90,6,12
4407651,45,3,6
4447729,135,9,41
4496424,60,4,26
4504518,0,0,0
4556147,60,4,21
4562844,105,7,30
4685957,455,9,56
4686465,105,7,54
4768619,15,1,37
4775625,45,3,0
4804214,60,4,32
4828117,105,7,24
4832235,105,7,22
4833113,150,10,102
4852298,0,0,8
4863636,135,9,46
4865785,105,7,29
4875254,0,0,16
4902987,2750,14,44
4947774,15,1,24
4948087,45,3,8
4958604,30,2,93
4966786,0,0,1
4971329,120,8,24
4977254,15,1,0
4995469,835,11,46
5006865,135,9,37
5051255,120,8,29
5077132,135,9,17
5139813,15,1,11
5235556,0,0,1
5238392,120,8,17
5316852,90,6,0
5407905,120,8,62
5411456,300,10,13
5426980,45,3,17
5455230,45,3,0
5524817,135,9,48
5528248,45,3,20
5532116,30,2,10
5535394,150,10,51
5550171,135,9,32
5556830,135,9,71
5599692,45,3,14
5635720,60,4,6
5639361,45,3,8
5677455,45,3,9
5693591,150,10,13
5725078,2750,14,40
5740428,0,0,4
5751570,835,11,29
5795349,120,8,67
5796965,120,8,28
5822543,45,3,14
5887067,120,8,34
5924891,75,5,1
5970050,0,0,6
5980041,135,9,25
5992839,45,3,0
5993977,45,3,20
6044970,90,6,3
6090786,105,7,20
6118878,45,3,14
6135075,75,5,14
6155524,150,10,36
6178333,0,0,0
6180816,75,5,5
6241351,135,9,30
6274895,835,11,26
6286883,0,0,24
6336026,45,3,6
6340625,135,9,33
6344364,75,5,29
6351155,1615,15,32
6362400,75,5,12
6375671,605,9,0
6386499,150,10,43
6390462,15,1,0
6407892,135,9,25
6410866,15,1,23
6435129,15,1,15
6438758,150,10,35
6462102,75,5,20
6476113,45,3,7
6500336,45,3,5
6541286,105,7,6
6558340,105,7,37
6622486,150,10,35
6624324,60,4,0
6636766,0,0,5
6676243,150,10,27
6684517,135,9,38
6703604,90,6,40
6747411,0,0,64
6800671,90,6,38
6881604,135,9,20
6903625,0,0,0
6903947,135,9,15
6906323,75,5,14
6949230,45,3,20
6972075,60,4,29
6973841,90,6,43
7038530,120,8,39
7057272,135,9,28
7064861,135,9,24
7073900,0,0,14
7089672,135,9,30
7120675,835,11,46
7132738,90,6,0
7134265,45,3,32
7166017,75,5,26
7183811,0,0,25
7206426,135,9,34
7236558,45,3,2
7236579,45,3,9
7265531,2750,14,35
7275711,90,6,51
7275802,120,8,10
7288637,45,3,5
7304453,135,9,9
7309177,90,6,38
7322850,105,7,11
7377293,15,1,5
7378096,0,0,21
7384852,45,3,13
7400561,45,3,10
7409945,45,3,4
7444875,1435,13,27
7470379,45,3,28
7522714,15,1,52
7565140,135,9,10
7619436,45,3,2
7623046,0,0,8
7623224,135,9,24
7624990,90,6,14
7629483,300,10,26
7636504,15,1,5
7652976,135,9,10
7702438,2750,14,26
7730926,15,1,15
7788198,135,9,17
7799130,45,3,0
7827477,105,7,11
7838701,300,10,35
7887173,0,0,8
7894724,45,3,22
7949403,60,4,8
7966366,135,9,34
7969038,90,6,0
7976309,135,9,10
8009258,135,9,53
8056627,0,0,0
8082844,150,10,30
8104710,105,7,19
8122232,150,10,20
8131504,135,9,13
8140824,45,3,7
8176913,135,9,15
8237387,120,8,54
8299296,2750,14,32
8325568,0,0,0
8331049,0,0,0
8397033,15,1,4
8447678,60,4,15
8448349,75,5,3
8449081,45,3,7
8457055,135,9,13
8463962,60,4,16
8469451,45,3,5
8471504,30,2,28
8480453,135,9,31
8500797,45,3,8
8502045,0,0,7
8562381,135,9,36
8585403,45,3,5
8596447,835,11,18
8604267,0,0,0
8620149,45,3,1
8637795,90,6,10
8663434,135,9,21
8666812,135,9,30
8694001,45,3,8
8696091,150,10,31
8704931,0,0,6
8726299,535,11,19
8736582,45,3,11
8737906,30,2,20
8739632,135,9,7
8745627,45,3,70
8806374,45,3,3
8865135,45,3,16
8907667,15,1,19
8921544,120,8,27
8948158,90,6,20
8992684,135,9,38
8997229,135,9,16
9030021,0,0,0
9046577,0,0,29
9072167,75,5,27
9100404,135,9,26
9146901,60,4,0
9230869,215,11,27
9266184,105,7,15
9289239,0,0,0
9307775,75,5,10
9331409,90,6,26
9409428,15,1,2
9414975,30,2,12
9444554,45,3,2
9466822,135,9,46
9491107,45,3,13
9500209,15,1,3
9506301,45,3,11
9551321,135,9,29
9585805,15,1,30
9665300,135,9,41
9731621,105,7,16
9737887,135,9,44
9747844,75,5,13
9748528,135,9,16
9759830,0,0,10
9764653,15,1,23
9778115,150,10,36
9780860,75,5,24
9782809,135,9,35
9784669,0,0,36
9842297,105,7,0
9860897,0,0,0
9865161,505,9,41
9877744,120,8,28
9926499,30,2,0
9975099,120,8,36
